Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0048164, 0.00325124, 0.00156356, 1.7241e-05, 20835, 16677, 864
0.00632381, 0.00440882, 0.00188954, 2.9426e-05, 20908, 17356, 891
0.0053083, 0.00316096, 0.00214623, 2.649e-05, 20963, 17826, 1404
0.00534663, 0.00328044, 0.00206394, 2.7019e-05, 21046, 18331, 1350
0.0050433, 0.00320154, 0.00183929, 2.4516e-05, 20777, 18404, 1404
0.00545633, 0.00360796, 0.00184479, 2.4523e-05, 20457, 17525, 1215
0.00393255, 0.00248508, 0.00144642, 1.8188e-05, 20151, 17046, 1107
0.00274882, 0.00164866, 0.00109945, 9.982e-06, 20199, 16854, 783
0.00504566, 0.00333172, 0.00171188, 2.3647e-05, 20345, 16803, 1242
0.00481756, 0.00325899, 0.00155638, 2.1813e-05, 20783, 18461, 1215
0.00159073, 0.00100576, 0.000584029, 8.888e-06, 20872, 17966, 1053
0.0028571, 0.00187698, 0.000979367, 1.4873e-05, 20222, 15517, 1161
0.00342586, 0.00232884, 0.001096, 1.2501e-05, 20087, 16456, 810
0.00471418, 0.00332014, 0.00139237, 1.622e-05, 20104, 16389, 837
0.00526093, 0.00380219, 0.00145518, 1.7852e-05, 19944, 16349, 837
0.00406925, 0.0029417, 0.00112571, 1.9257e-05, 19467, 15759, 810
0.00326744, 0.00215089, 0.00111568, 1.3068e-05, 19418, 16084, 1053
0.00532855, 0.00341143, 0.00191557, 3.0748e-05, 19104, 15261, 1107
0.00426601, 0.00292274, 0.00134095, 1.6561e-05, 19116, 15394, 918
0.00404995, 0.00293179, 0.00111645, 1.5845e-05, 19654, 16350, 810
0.0044432, 0.00359327, 0.000846491, 9.438e-06, 19632, 15998, 594
0.00264334, 0.00184626, 0.000796278, 9.013e-06, 19469, 15460, 675
0.0015016, 0.0011106, 0.000390394, 6.451e-06, 19720, 16299, 945
0.00376828, 0.0028182, 0.000947493, 9.691e-06, 20107, 17220, 621
0.00522394, 0.00389138, 0.00133056, 1.3828e-05, 20146, 17246, 702
0.00366553, 0.00244159, 0.00122297, 1.3322e-05, 19605, 16148, 864
0.00447971, 0.0031343, 0.00134274, 1.6158e-05, 19585, 16158, 891
0.00396854, 0.00259923, 0.00136804, 1.587e-05, 19526, 16013, 918
0.0046481, 0.0026431, 0.00200402, 2.3977e-05, 19516, 16071, 1404
0.00352527, 0.00235032, 0.00117395, 1.177e-05, 19062, 15277, 837
0.00476988, 0.00312299, 0.00164416, 1.749e-05, 19378, 15972, 648
0.00175166, 0.00129392, 0.000457146, 4.698e-06, 19450, 15298, 540
0.00427098, 0.00293039, 0.00133795, 1.2736e-05, 19116, 14911, 702
0.00333669, 0.00235087, 0.000984841, 9.197e-06, 18729, 14949, 567
0.00199129, 0.000907402, 0.00108337, 4.57e-06, 18333, 17316, 702
0.00200962, 0.000987623, 0.00102108, 4.857e-06, 18525, 17891, 675
0.00585486, 0.0034485, 0.00240298, 1.7215e-05, 18820, 17765, 648
0.00409601, 0.00281878, 0.00126399, 1.6041e-05, 18785, 16525, 891
0.00247591, 0.00114794, 0.00132733, 8.91e-06, 19023, 19108, 1539
0.00180097, 0.00095525, 0.000845238, 6.5e-06, 19110, 19289, 1134
0.00520046, 0.0029407, 0.0022581, 1.2386e-05, 19186, 18870, 756
0.00559208, 0.00337719, 0.00221178, 1.1538e-05, 19510, 19627, 675
0.00424253, 0.00297221, 0.00126821, 1.4681e-05, 20167, 17262, 864
0.00405093, 0.00281849, 0.00123127, 1.6684e-05, 20563, 16766, 972
0.00509949, 0.00288765, 0.00221051, 1.0259e-05, 20986, 17627, 540
0.00653328, 0.00349768, 0.00303337, 1.4744e-05, 21363, 18629, 702
0.00376198, 0.00263165, 0.00112889, 1.2766e-05, 21894, 15951, 675
0.00229318, 0.0015143, 0.000778155, 9.047e-06, 22506, 16139, 837
0.00511378, 0.00288827, 0.0022236, 1.108e-05, 22670, 18413, 594
0.00502912, 0.00315932, 0.0018678, 1.2952e-05, 23170, 17858, 648
0.00545765, 0.00345782, 0.00199738, 1.0935e-05, 23624, 18488, 540
0.00275618, 0.00189262, 0.000862923, 1.0227e-05, 24349, 15499, 864
0.00389053, 0.00268532, 0.0012038, 1.1122e-05, 24731, 17033, 648
0.0044136, 0.00317297, 0.00123884, 1.0185e-05, 24900, 17473, 486
0.00461762, 0.00338722, 0.00122888, 1.0328e-05, 24881, 18123, 486
0.00395776, 0.00283177, 0.00112512, 8.594e-06, 25418, 18409, 621
0.00591857, 0.00387732, 0.00203957, 2.0525e-05, 25587, 18498, 648
0.00245738, 0.00168159, 0.000774806, 5.76e-06, 25597, 18030, 459
0.00595542, 0.00388456, 0.00206812, 1.5214e-05, 25581, 18165, 378
0.00416549, 0.00301093, 0.00115245, 1.0553e-05, 25792, 17917, 540
0.00362879, 0.00262879, 0.000999129, 9.086e-06, 25983, 18105, 567
0.00472071, 0.00352522, 0.00119326, 7.806e-06, 26041, 17893, 297
0.00577963, 0.0039634, 0.00181305, 2.3542e-05, 26183, 17419, 675
0.00586959, 0.00412019, 0.00174622, 1.9398e-05, 26313, 17456, 540
0.00366068, 0.00243163, 0.00122828, 1.4091e-05, 26473, 17700, 918
0.00451938, 0.002867, 0.00165079, 1.6306e-05, 26495, 17791, 864
0.00704498, 0.00445299, 0.00258802, 3.393e-05, 26567, 18670, 999
0.00495339, 0.003322, 0.00162897, 1.9556e-05, 26445, 18651, 1134
0.0019581, 0.00137421, 0.000582751, 6.244e-06, 26312, 18808, 648
0.0040156, 0.00255156, 0.0014631, 2.0389e-05, 26302, 20076, 1647
0.0051189, 0.00341982, 0.0016959, 2.0721e-05, 25986, 19613, 1053
0.00292628, 0.00191911, 0.00100616, 1.3221e-05, 25834, 19178, 1107
0.00266441, 0.00166348, 0.000999537, 1.292e-05, 25964, 19444, 945
0.00655104, 0.00377621, 0.00277296, 3.5305e-05, 26204, 19773, 1107
0.0030051, 0.00200974, 0.000994555, 1.1815e-05, 26129, 18442, 594
0.00460272, 0.00307777, 0.00152289, 1.4247e-05, 26112, 19982, 783
0.00308629, 0.00207877, 0.0010059, 8.974e-06, 26126, 19564, 621
0.00534657, 0.00389825, 0.00144514, 1.2971e-05, 25824, 19311, 567
0.00416952, 0.00284738, 0.0013212, 1.2501e-05, 25913, 19505, 756
0.00441421, 0.00297619, 0.00143617, 1.1766e-05, 25948, 18760, 675
0.0063404, 0.00391436, 0.00241609, 1.9376e-05, 26053, 19135, 621
0.00425954, 0.00281594, 0.00144232, 1.4518e-05, 26166, 18387, 810
0.00451591, 0.00241494, 0.00210009, 1.3299e-05, 25863, 18703, 999
0.0042009, 0.0026537, 0.00154587, 1.5783e-05, 25990, 16393, 837
0.0043123, 0.00300647, 0.00130417, 9.432e-06, 26000, 17958, 513
0.00576858, 0.00324041, 0.00252652, 1.3433e-05, 25914, 18655, 756
0.00447911, 0.00262553, 0.00185246, 1.1651e-05, 25549, 17121, 729
0.00578575, 0.00323149, 0.00255295, 1.5082e-05, 25449, 17882, 945
0.00623613, 0.00321157, 0.00302314, 1.8557e-05, 24905, 18305, 1161
0.00522791, 0.00319567, 0.00203022, 1.2702e-05, 24501, 18005, 621
0.0059822, 0.00343093, 0.00254953, 1.8589e-05, 23575, 18642, 1188
0.00567815, 0.00290388, 0.00277299, 1.8053e-05, 22729, 19154, 1161
0.0051042, 0.00298601, 0.00211617, 1.7233e-05, 21916, 18151, 999
0.00505304, 0.00295436, 0.00209577, 1.4322e-05, 21269, 18755, 837
0.00571886, 0.00305845, 0.00265886, 1.9679e-05, 20301, 17985, 1188
0.00624522, 0.00341639, 0.00282526, 2.3779e-05, 19394, 17908, 837
0.00391086, 0.00224986, 0.00165973, 1.5919e-05, 19032, 16557, 1053
0.00540493, 0.00327604, 0.00212706, 2.8491e-05, 18964, 17025, 972
0.00251381, 0.00145847, 0.00105471, 1.0174e-05, 17060, 15647, 864
0.00514724, 0.00291137, 0.0022335, 2.9854e-05, 16845, 15010, 972
0.00469067, 0.00289198, 0.0017959, 3.0027e-05, 16894, 14064, 1053
0.0018475, 0.00133741, 0.000508841, 1.0144e-05, 17769, 13987, 1053
0.0032391, 0.00219658, 0.00104164, 9.976e-06, 18669, 13170, 540
0.00148976, 0.00107528, 0.00041332, 3.966e-06, 19149, 13153, 351
0.00329314, 0.0022669, 0.00102528, 1.2958e-05, 19349, 13057, 756
0.00485165, 0.0036184, 0.00123068, 9.588e-06, 19262, 14365, 243
0.00441895, 0.00290686, 0.00151102, 1.699e-05, 18171, 14511, 540
0.00141238, 0.00100647, 0.000404803, 5.142e-06, 18077, 15045, 621
0.00388625, 0.00275553, 0.00112757, 1.0093e-05, 18002, 15000, 513
0.0012003, 0.000885261, 0.000314408, 3.543e-06, 17921, 14280, 351
0.00296126, 0.00228221, 0.000678226, 6.866e-06, 18282, 14620, 351
0.00465075, 0.00283184, 0.00181741, 8.675e-06, 18166, 16291, 459
0.00414373, 0.00270241, 0.00143935, 1.0801e-05, 18001, 14515, 567
0.00260567, 0.00137317, 0.00123176, 5.257e-06, 18073, 15320, 351
0.00335599, 0.00201437, 0.00134073, 5.954e-06, 18183, 14442, 378
0.00410894, 0.00238776, 0.00171952, 8.183e-06, 18275, 14539, 378
0.003959, 0.00248159, 0.00147608, 4.141e-06, 18515, 14244, 162
0.00415819, 0.00263833, 0.00151765, 3.257e-06, 18764, 13793, 108
0.00369141, 0.00261006, 0.00107879, 1.304e-06, 18523, 13173, 27
